	shop_id	shop_name	shop_group_name	lng	lat	comment_num	good_rate	avg_price	taste_score	env_score	ser_score	weighted_hits	favor_list	verse_taxi_distance	route	public_duration	category_name	category_id
62	91025100	金时代顺风大酒店(川沙百联店)	金时代顺风大酒店	121.704326	31.191287	343	90.1	110	8.9	9.0	8.4	16008.3	烤乳鸽,臭豆腐,虾饺皇,炝腰花,鲜虾肠粉	-21145.0	杨高北路站(1口)->金海路站(地铁12号线)->川沙路翔川路站(991路)	1小时31分	本帮江浙菜	101
63	13782490	顺风港湾(宏伊国际广场店)	顺风港湾	121.491118	31.242761	5211	88.7	146	8.9	8.8	8.4	160783.9	爆酱榴莲包,脆皮烤乳鸽,顺风虾饺皇,顺风黄鱼煨面,顺丰红烧肉	-18556.0	杨高北路站(1口)->天潼路站(地铁12号线)->南京东路站(地铁10号线)	59分	本帮江浙菜	101
64	76940920	翡翠游龙美食农庄	翡翠游龙美食农庄	121.699302	31.169209	114	93.0	121	8.9	9.1	9.1	14619.4	娃娃鱼,白斩鸡,菊花茶,牛筋,酒酿圆子	-23496.0	金高路源华路站->巨峰路金京路站(987路)->金海路站(地铁12号线)->川沙路迎宾大道站(991路)	1小时53分	本帮江浙菜	101
65	26233390	上海人家精作坊(汇商店)	上海人家精作坊	121.555540	31.230880	2222	93.9	225	8.9	9.0	8.7	49249.6	招牌熏鱼,上海葱油第一鸡,荠菜黄鱼春卷,蜜汁小排,毛蟹炒年糕	-10699.0	杨高北路站(1口)->大连路站(地铁12号线)->世纪大道站(地铁4号线)->杨高中路站(地铁9号线)	1小时3分	本帮江浙菜	101
66	75095687	望乡楼精膳坊(189弄购物中心店)	望乡楼精膳坊	121.446802	31.248325	624	89.7	137	8.9	8.8	8.8	12294.4	黄鱼小馄饨,金牌雪花牛肉粒,江南元宝虾,本帮响油鳝丝,招牌红烧肉	-23922.0	杨高北路站(1口)->汉中路站(地铁12号线)->长寿路站(地铁13号线)	1小时6分	本帮江浙菜	101
67	5736734	上海人家庭菜坊	上海人家庭菜坊	121.500181	31.215438	670	85.1	84	8.9	8.3	8.8	19957.7	牛肉年糕粒,蟹粉蹄筋,干锅千页豆腐,清蒸白水鱼,响油蟮丝	-19542.0	杨高北路站(1口)->大连路站(地铁12号线)->南浦大桥站(地铁4号线)	1小时12分	本帮江浙菜	101
68	22590058	小场合农家文化主题餐厅	小场合农家文化主题餐厅	121.434944	31.309806	2559	90.6	74	8.9	9.0	8.6	37079.7	非一般的野鲈鱼,70版糯香鸭,草头小虾面疙瘩,芝士蒜蓉烤虾,铁锅有机花菜	-21729.0	杨高北路站(1口)->汉中路站(地铁12号线)->彭浦新村站(地铁1号线)->少年村路站(110路)	1小时35分	本帮江浙菜	101
69	21158338	溪林小馆(三林店)	溪林小馆	121.506382	31.146815	1845	89.5	69	8.9	8.7	8.6	35849.3	椒盐猪手,三林油爆虾,迷你手打狮子头,农家咸肉菜饭,腰果酥	-25744.0	杨高北路站(1口)->巨峰路站(地铁12号线)->灵岩南路站(地铁6号线)	1小时32分	本帮江浙菜	101
70	17785842	金时代顺风大酒店(中环店)	金时代顺风大酒店	121.385757	31.239060	2082	88.6	132	8.9	8.6	8.3	77388.6	脆皮乳鸽,榴莲爆浆,澳带鲜虾饺,本帮熏鱼,顺风招牌臭豆腐	-29441.0	杨高北路站(1口)->汉中路站(地铁12号线)->真北路站(地铁13号线)	1小时20分	本帮江浙菜	101
71	6132529	金时代顺风大酒店(吴中路店)	金时代顺风大酒店	121.422124	31.194133	3349	92.5	135	8.9	8.7	8.4	109374.3	烤乳鸽,干煎臭豆腐,本帮熏鱼,招牌红烧肉,咖喱大皇蟹	-27956.0	杨高北路站(1口)->天潼路站(地铁12号线)->宋园路站(地铁10号线)	1小时32分	本帮江浙菜	101
